"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 04 11:35:06 EET 2021","Thu Nov 04 11:35:18 EET 2021","12717","","Videos","","Videos","Iframe must appear","Iframe must appear",""
"passed","Thu Nov 04 11:35:06 EET 2021","Thu Nov 04 11:35:19 EET 2021","13190","","Volvo Test Case","","Volvo Test Case","Learn more about car safety Link Test","Learn more about car safety Link Test",""
